codigo,descripcion,proveedor,equivalencias,precio,uso_destino
´047536,TACO AMORTIGUANTE TRASERO,SULLAIR,,312.6,
250016-394,RESORTE COM 2.69 X 5.80 30LBS,SULLAIR,,106.3,
02250129-626,SWITCH PR SR70/125/3000,SULLAIR,,553.3,
02250048-822,JUNTA PANEL SUPERVISOR II,SULLAIR,,70,
02250127-175,KIT REP FILTRO SEP COND s10LF,SULLAIR,,306.8,
C635-0011-03-ONA,IND. NIVEL DE COMBUSTIBLE C300,ONAN,,160.7,
C635-0011-01-ONA,IND. NIVEL DE COMBUSTIBLE,ONAN | SULLAIR,,103.6,
02250136-694,INDICADOR DE TEMPERATURA,SULLAIR,,520.1,
1001109498,MODULE PLAT. CONSOLE P/E45A,JLG,,,
2200902017,KIT WEAR DRAIN,ATLAS,,,
1622-7064-04,VALVULA TERMOSTATICA,ATLAS,,,
CWM150E,CONTACTOR BOBINA ELEC. 110V,WEG,,1258.1,
4360470-JLG,SWITCH IGNITION,SULLAIR,,62.7,
LA7 D1064,,TELEMECANIQUE,,,
3084891,,,,,
4935094,BOMBIN COMBUSTIBLE p/ QSX15,CUMMINS,,,
206996,CORREA DE CAUCHO (C),CUMMINS,,,
110-3737,JUNTA,ONAN,,67,
215041,TUBE WATER TRANSFERENCE,CUMMINS,,160,
610128,MODULE PLAT. CONSOLE P/E45A,JLG,,1933.6,
300-4054,-,ONAN,,,
0300-5146,CIRCUIT BOARD,CUMMINS,,2202.6,
191-1949-07,ARRANQUE 33 AW,ONAN,,912.5,
02250215-617,KIT ELEMENTO SEPARADOR P10 | KIT ELEM. SEPARADOR P10,IMPORTADO | SULLAIR,,600.9,
8250-1505,-,CUMMINS,,,
A41018-B&L,PUNTAS DE MARTILLO,- | SULLAIR,,53,
3904981,ALT FAN (C),CUMMINS,,77.4,
306-4287,-,CUMMINS,,,
300-5372,-,SULLAIR,,,
300-5985,MODULO CONTROL TS1311 P/GT,ONAN,,2491.8,
0191-2216,ARRANCADOR,ONAN,,,
418-0098,-,ONAN,,,
307-0623-ONA,RELAY (O),ONAN,,,
´03004271,ALARM BOARD,ONAN,,,
418-0531,-,ONAN,,,
307-9828,-,ONAN,,,
302-1147,AMMETER (O),ONAN,,407.3,
307-0845,RELAY (O),ONAN,,101.1,
305-0781,RECTIFICADOR (O),ONAN,,,
302-1864,AMMETER (O),ONAN,,,
510-0171,RETEN (O),ONAN,,,
302-0807,METER AMP (O),ONAN,,255.8,
112-0085,RING RETAINING,ONAN,,9.4,
110-3604,RETEN DE VLV. P/5NHD (TELEFE),ONAN,,20,
309-0561,PRESSURE SWITCH (O),ONAN,,,
380-4744,-,CUMMINS,,,
309-0269,SWITCH BAJA TEMP. MOTOR PCC,ONAN,,160.1,
115-0129,VALVULA DE ADMISION,ONAN,,,
308-0784,SWITCH SELECTOR (O),ONAN,,88.9,
353-0094-01,RESISTOR (O),ONAN,,47.9,
307-0628,RELAY (O),ONAN,,,
115-0127,BALL PIVOT,ONAN,,,
1812635Q169,-,ONAN,,,
110-1220,RETAINER VALVE SPRING,ONAN,,107.2,
110-1870,EXHAUST,ONAN,,94,
115-0128,VALVULA DE ESCAPE,ONAN,,,
320-1601-01,-,ONAN,,,
302-1844,METER AMP-DC (O),ONAN,,,
250000-103,LUZ PILOTO ROJO XB4-BV64,ONAN,,,
505-0089,-,ONAN,,,
300-3115-02,BOARD 60 SECONDS (O),ONAN,,1054,
302-1642,VOLTMETER (O),ONAN,,414,
357-0093,RECTIFICADOR,ONAN,,,
193-0375,SENSOR DE TEMPERATURA.- | SENSOR DE TEMPERATURA,ONAN,,68.4,
312-0203,CAPACITOR (O),ONAN,,,
303-0261,POTENCIOMETRO,ONAN,,634.9,
307-1058,RELE,ONAN,,76.9,
154-0712,HEATER INTAKE (O),ONAN,,,
226-4530,-,ONAN,,,
300-5151,-,ONAN,,,
302-1859-01,HOROMETRO (O),ONAN,,,
309-0438,SWITCH (O),ONAN,,,
300-4099,EMERG STOP KIT,ONAN,,,
300-3160,PCB ASSY-BAT(O),ONAN,,,
0309-0649,TERM DE PRECA. P/VTA-KTA-DQKB,ONAN,,376,
307-2577,RELOJ DE EJECICIO P/OT600,ONAN,,1550.4,
191-1953,BENDIX DE ARRANQUE,ONAN,,440.1,
0320-0876,BRACKER CIRCUIT(O),ONAN,,172.9,
320-0505,CIRCUIT BREAKER(O),ONAN,,61.3,
110-1221,SPRING VALVE,ONAN,,10.6,
191-1951,CARBONES DE ARRANQUE,ONAN,,90.9,
309-0439,-,ONAN,,,
110-1278,VALVE EXHAUST,ONAN,,,
112-0093,PIN PISTON,ONAN,,,
0353-0094-01,RESISTOR (O),ONAN,,47.9,
307-2591,RELAY PROGRAMED (O),ONAN,,104.4,
270011-274,MANGUERA FILTRO DE ACEITE - UC,SULLAIR,,299,
LC1D09,CONTACTOR,SCHNEIDER,,,
LC1D12F7,CONTACTOR,SCHNEIDER,,,
LC1D09F7,CONTACTOR,SCHNEIDER,,,
LC1D8,CONTACTOR,SCHNEIDER,,,
LRD33,RELE TERMICO D 55 a 70AMP,SCHNEIDER,,257.3,
LC1D80F7,CONTACTOR 80A 3P 1NA+1NC 50HZ,SCHNEIDER,,,
LC1R2501,AC CONTACTOR,SCHNEIDER,,,
02250215-660,ELEMENTO DE ACOPLE NEGRO,SULLAIR,,1085.8,
1001178139-JLG,CONTROLP/E45A (EX 1001118419),SULLAIR,,494,
042034RA,PURGA DRENA OSMI 1/2 (30-200PS | VLV DRENAJE OSMI,DRECAFF | SULLAIR,,353.5,
AF25555,,FLEETGUARD,,,
88292046-727,KIT CONTROLADOR SCN2,IMPORTADO | IMP,,,
CC2825,COMPLEAT EG PREMIX 50/50 x1Gal,FLEETGUARD,,36.3,
02250127-684,ELEMENT AIR FILTER,NACIONALES | SULLAIR | P/SERVICIO,,216.1,Servicio Técnico
MR447,FILTRO DE AIRE,MARENO M.BENZ | M.BENZ,,76.05,
200F*200H*132,,IMPORTADO,,,
HD9839,FILTRO DE AIRE | LX1056,VOX,LX1056 LX1716,31.94,
HD9841,FILTRO DE AIRE | LX2621,VOX,LX2621,42.59,
HD7998,FILTRO DE AIRE,VOX,LX910,23.64,
P150135,FILTRO DE AIRE,DONALDSON,,,
MLX2533,FILTRO DE AIRE,MAHLE,,54.01,
MR390,FILTRO DE AIRE,MARENO,HD78,55.37,
HD3003,FILTRO DE AIRE,VOX,,19.15,
HD8234,FILTRO DE AIRE,VOX,,23.15,
HD9838,FILTRO DE AIRE,VOX,,26.21,
HD9837,FILTRO DE AIRE | LX1070,VOX | REPCENTER,LX1070,36.11,
KX77,FILTRO DE COMBUSTIBLE,MAHLE,,33.16,
P610696,FILTRO DE AIRE,DONALDSON,,,
LXS312,FILTRO DE AIRE SECUNDARIO,MAHLE,,61.07,
HD5673,FILTRO DE AIRE,MAHLE,,33.51,
LX1313,FILTRO DE AIRE,MAHLE,,130.24,
AF26044-FLE,FILTRO AIRE P/C3 (140-4157)x12,FLEETGUARD | SULLAIR,,,
AF25278,FILTRO DE AIRE P/1340DFLF,FLEETGUARD | SULLAIR,,,
HF35018,FILTRO FRENO P/WA500-6,FLEETGUARD | REPCENTER,,,
HF6057,F.HIDRAULICO P/JLG(EX 2120072),FLEETGUARD,,19.1,
HF6553,FILTRO ACEITE TRANS P/40E,FLEETGUARD,,65.6,
HF6588,FILTRO HIDRAULICO,FLEETGUARD,,,
HF6424,FILTRO HIDRAULICO,FLEETGUARD,,55.1,
HF7535,FILTROTRANSMISION P/440XT,FLEETGUARD,,,
FF5021,F.COMB. (= 25010959 GM),FLEETGUARD,,17,
FF5052,FILTRO COMB,FLEETGUARD | REPCENTER,P550440,17.1,
FF5031,FILTRO COMBUSTIBLE,FLEETGUARD,,62.8,
FF5032,F. COMB.(ONAN 1220325) P/JLG,FLEETGUARD,,60.9,
FF5405,FILTRO DE GASOIL,FLEETGUARD,,79.4,
FF5079,FILTRO COMBUSTIBLE,FLEETGUARD | REPCENTER,P550974,11,
HF6141,FILTRO HIDRAULICO,FLEETGUARD | REPCENTER,,,
FF5624,FILTRO COMBUSTIBLE,FLEETGUARD,,,
FF202,FILTRO DE GASOIL(600-311-7111),FLEETGUARD | SULLAIR,,35.5,
FF5421,FILTRO COMBUS P/SKY *ADJ*,FLEETGUARD,,26.2,
FS19805,FILTRO SEPAR COMB,FLEETGUARD,P502566,91.4,
FS1015,FILTRO COMBUSTIBLE,FLEETGUARD,,,
FS1000,FILTRO COMBUSTIBLE,FLEETGUARD,P551000,27.6,
FS1275,FILTRO COMBUSTIBLE,SULLAIR,,33.6,
FS19734,FILTRO DE COMBUSTIBLE,REPCENTER,,,
FS1242,ELEMTO.F. COMBU. P/CASE 921B**,FLEETGUARD | SULLAIR,,24.1,
FS20009,FILTRO COMBUSTIBLE P/X1440,FLEETGUARD | REPCENTER,,71.7,
FS19727-FLE,FIL.COMB PRIM,FLEETGUARD,P551052,41.5,
FS19972-FLE,FILTRO COMB 580N**84559022-CAS,FLEETGUARD,,63.2,
FF203,FILTRO COMB P/JD (= AR50041),FLEETGUARD,,34.4,
FF105,FILTRO DE COMBUSTIBLE,REPCENTER,,16.8,
FF146,FILTRO COMBUSTIBLE,FLEETGUARD,,,
FF5580,FILT COMB P/C275D5 4,FLEETGUARD | SULLAIR,,31.3,
LF3970,FILTRO ACEITE P/10042,FLEETGUARD | REPCENTER,P550428,20.3,
LF700,FILTRO DE ACEITE P/C20,FLEETGUARD,,21.5,
LF3345,FILTRO AC p/QSV4.5,FLEETGUARD | SULLAIR,P558616,17.3,
LF699,FILTRO DE ACEITE,FLEETGUARD,,17.2,
LF3349,FILTRO ACEITE *ADJ*,FLEETGUARD | REPCENTER | SULLAIR,P558615,11.6,
LF3373,P550315/OX137D      FILTRO DE ACEITE,FLEETGUARD,,11.6,
LF3325,FILTRO,FLEETGUARD | SULLAIR,,40.8,
LF3605,FILTRO DE ACEITE,FLEETGUARD,,,
LF4045,FILTRO DE ACEITE,FLEETGUARD,,,
LF4054-FLE,F.ACEITE P/214/L90 | F.ACEITE P/214/L90 *VER TB167i,FLEETGUARD,,21.6,
LF670,FILTRO DE ACEITE,FLEETGUARD,,22.8,
LF3000,FIL.AC. P/PC300-7(6742-01-4540 | LB300,FLEETGUARD | VOX,,49.1,
LF667,F.ACEITE P/750H CAT,FLEETGUARD,,19.2,
LF777,F.ACEITE (= 122-0526 3313283),FLEETGUARD | REPCENTER,,29.5,
LF701,FILTRO DE ACEITE,FLEETGUARD,,18.7,
LF3573,FILTRO DE ACEITE,FLEETGUARD,,,
LF3883,F ACEITE P/CAMION INTERNACIONA,FLEETGUARD,,42.6,
LF14000NN,F. ACEITE,FLEETGUARD,LF9080,92,
LF9000,FILTRO DE ACEITE P/QSX5,FLEETGUARD,,108.5,
LF9009,FILTROS DE ACEITE,FLEETGUARD | REPCENTER,,49.1,
LF691A,FILTRO DE ACEITE P/ 1150XH,FLEETGUARD,,37.9,
FS1006,FILTRO DE COMBUSTIBLE,FLEETGUARD | SULLAIR,,76.8,
FS19732,FILTRO COMBUSTIBLE,FLEETGUARD | P/SERVICIO | SULLAIR,,57.6,Servicio Técnico
FS19730,ELEMENTO FILTRANTE NORMAL,FLEETGUARD,,32.2,
FS1003,FILTRO SEPARADOR COMB,FLEETGUARD,,50.3,
FS1280,FILTRO COMBUSTIBLE,FLEETGUARD | SULLAIR,,15.9,
WF2070,F.AG =130-3536 3318157,FLEETGUARD,P551329 WF2170,26.6,
WF2071,FILTRO DE AGUA,FLEETGUARD | REPCENTER,,17.8,
WF2072,FILTRO DE AGUA | FILTRO DE AGUA = WF2172,FLEETGUARD | SULLAIR,WF2172,22.4,
WF2073,FILTRO AGUA,FLEETGUARD,,24.1,
WF2074,FILTRO AGUA,FLEETGUARD | REPCENTER,,24.1,
WF2076,FILTRO DE AGUA,FLEETGUARD | REPCENTER,,50.55,
´040146,JUNTA FLEXMASTER 1 1/2SR S.10,SULLAIR,,111.9,
´040649,JUNTA FLEX.2 1/2 (1)S12,SULLAIR,,123.8,
´045672,BANDA DE ACOPLE S.10,SULLAIR,,414.3,
AH19037,TUBULAR,FLEETGUARD | REPCENTER,,96.9,
88290015-902,CORREA P/SHOPTEK WS1100,SULLAIR,,60.3,
88290016-410,CORREA P/SHOPTEK WS0400/0500,SULLAIR,,75.6,
88290017-056,CORREA P/SHOPTEK WS1500,SULLAIR,,62.1,
88290015-901,CORREA P/SHOPTEK WS0700,SULLAIR,,60.3,
KB8220,FILTRO SEPARADOR,AIRHORSE | MV,,78,
WD719,FILTRO DE ACEITE,AIRHORSE,,,
23801001.01,FILTRO DE AIRE,AIRHORSE,,,
LX3986,FILTRO DE AIRE,MAHLE,,,
040694RA,PRESOSTATO DANFFOS ALTA PRES.,,,,
HF6182,FILTRO HIDRAULICO,FLEETGUARD | GRUMAQ,,,
AF1855-FLE,F.AIRE,SULLAIR,,,
MC003,FILTRO DE COMBUSTIBLE,MARENO,,,
MDH366,FILTRO HABITACULO,ECHANIZ,,,
MR406,FILTRO DE AIRE,ECHANIZ,,,
LA428/S,FILTRO DE AIRE,MAHLE,,,
LA87,FILTRO HABITACULO,MAHLE,,,
HK1251,FILTRO HABITACULO,MAHLE,,,
HK205,FILTRO HABITACULO,MAHLE,,,
MDH201,FILTRO DE ACEITE,MAHLE,,,
MDH362/8,FILTRO DE AIRE,MAHLE,,,
MDH291,FILTRO HABITACULO,MAHLE,,,
MDH218,FILTRO HABITACULO,MAHLE,,,
MR371,FILTRO DE AIRE,MARENO,,,
LX993,FILTRO DE AIRE,MAHLE,,,
AA2366,FILTRO DE AIRE,PRIX,,,
HLP4147,FILTRO DE AIRE | LX907,VOX,LX907,,
LX5208,FILTRO DE AIRE,MAHLE,,,
LX3486,A-2935  FILTRO DE AIRE | FILTRO DE AIRE,SAKURA | MAHLE,,,
P551808,FILTRO DE ACEITE,DONALDSON,,,
P165675,FILTRO DE ACEITE,DONALDSON,,,
P165569,FILTRO DE ACEITE,DONALDSON,,,
P951419,FILTRO SECADOR DE AIRE,DONALDSON,,,
P559000,FILTRO DE ACEITE,DONALDSON,,,
B76,FILTRO DE ACEITE,BALDWIN,,,
BR-1075,FILTRO DE COMBUSTIBLE,LANSS,,,
LX673,FILTRO DE AIRE,MAHLE,,,
FAC973,LA677 FILTRO DE AIRE,VOX,,,
4T-GX-3402,FILTRO DE AIRE,VENROL,,,
EF-427,FILTRO DE AIRE,LANSS,,,
HF-3058,FILTRO HIDRAULICO,LANSS,,,
RE160JQll,F.COMBUSTIBLE,-,,,
2120150,FILTRO HIDRAULICO,JLG,,,
MR378,FILTRO DE AIRE,MARENO | ECHANIZ,,,
MR051,FILTRO DE AIRE,MARENO,,,
MR378/S,FILTRO DE AIRE,MARENO | ECHANIZ,,,
MR366,FILTRO SECUNDARIO | FILTRO DE AIRE,MARENO,,,
AA1127,FILTRO DE AIRE,PRIX | ECHANIZ,,,
TR30179,FILTRO DE AIRE,TURBO FILTROS,,,
BF7675-D,FILTRO DE COMBUSTIBLE,BALDWIN,,,
AA1436/1E,FILTRO DE AIRE,PRIX,LX14S1,,
WKU-1001/V,KIT FILTROS,WEGA,,,
AA1288/1,TOYOTA FILTRO DE AIRE,PRIX,,,
HLP2206,FILTRO DE AIRE,VOX,,,
LX486,FILTRO DE AIRE,,,,
3801708-CMM,BOMBA DE AGUA CUMMINS NTA-855,,,1961,
405158RA,FILTRO AIRE 20/25,SULLAIR | P/SERVICIO,,225.4,Servicio Técnico
LA1045,FILTRO HABITACULO,MAHLE | REPCENTER,,,
LX2082/1,FILTRO DE AIRE,VOX,,,
C1140,FILTRO DE AIRE,MANN | MV,,28,
LX1801,375 NUEVO FILTRO DE AIRE,MAHLE,,,
MR372,FILTRO DE AIRE,MARENO | ECHANIZ,,,
FAC887,FILTRO CABINA HILUX,VOX | REPCENTER,,,
C-70130,FILTRO DE ACEITE,ECHANIZ,,,
FF-02FI,FILTRO DE COMBUSTIBLE,ECHANIZ,,,
MDH308,F.HABITACULO,ECHANIZ,,,
MR299,FILTRO DE AIRE,ECHANIZ,,,
270016-209,USADO - Flex. descarga | usado,SULLAIR,,631.3,
270009-102,FILTRO DE AIRE,LANSS,EF-443,,
LX265,FILTRO DE AIRE,MAHLE | REPCENTER | ECHANIZ,EF-443,,
270009-103,FILTRO DE AIRE,LANSS,EF-436,,
LXS 37/1,FILTRO DE AIRE ll,MAHLE,EF-436,,
V-719,FILTRO DE AIRE,DARMET | REPCENTER,,,
V-720,FILTRO DE AIRE,DARMET | REPCENTER,,,
VP-799,FILTRO DE AIRE,DARMET,,,
VP-799/S,FILTRO DE AIRE ll,DARMET,,,
LXS5/1,FILTRO DE AIRE,MAHLE,EF-434,,
LX275,FILTRO DE AIRE,MAHLE | ECHANIZ,EF-440,,
270009-081,FILTRO DE AIRE ll,LANSS,EF-435,,
LXS41/1,FILTRO DE AIRE ll | FILTRO DE AIRE SECUNDARIO,MAHLE | REPCENTER,EF-435 270009-081,,
270009-082,FILTRO DE AIRE,LANSS,EF-441,,
LX236,FILTRO DE AIRE,MAHLE | REPCENTER | ECHANIZ,270009-082 EF-441,,
040899RA,ELEMENTO FILTRO DE AIRE LS10,SULLAIR,EF-429,59,
02250102-160RA,FILTRO 2° AIRE 185JD,DARMET,AF25484,107,
02250102-158RA,FILTRO 1° AIRE,DARMET,AF25555-FLE,,
02250043-291,INDICADOR TEMP. P/6E,SULLAIR,,665.3,
02250164-532RA,ELEMENTO FIL AIRE 1º P/375/185,SULLAIR,,241.4,
AF25557-FLE,FILTRO DE AIRE (EF-732),FLEETGUARD,,34.7,
AF4548,F.AIRE (= 140-2391),FLEETGUARD,,193.9,
AF947,FILTRO DE AIRE,FLEETGUARD,,69.6,
02250125-372,ELE FILT AIRE S.ENERGY | ELE FILT AIRE S.ENERGY *VER* | FILTRO DE AIRE,FLEETGUARD | SULLAIR | P/SERVICIO,,90,Servicio Técnico
AF25558,FILT AIRE 2º P/310,FLEETGUARD,EF-733,23.5,
270007-324,F.A II° PES.P/750-900Q AF1791,SULLAIR,,100.6,
270007-323,F.AIRE I° S.PES.750/900Q/C500,SULLAIR,,178.1,
02250137-895,E.SEPARADOR S10-20/30/40 LFREE,SULLAIR | P/SERVICIO,,827.4,Servicio Técnico
250028-034,ELTO FILT AIRE 6E P/250025-421 | ELEM. FILT AIRE 6E P/250025-421,SULLAIR,,75.5,
02250156-601,ELEMENTO FILTRO DE ACEITE P10,SULLAIR,,255.6,
02250111-804,FILTRO AIRE SERV.PESADO P/6E,SULLAIR,,169.8,
02250215-621,FILTRO SEPARADOR P/Energy 3700,SULLAIR,,851,
02250139-995,ETO FILTRO ACEIT TS20 CORELESS,SULLAIR,,494.8,
250028-033,SEPARADOR P/6E,SULLAIR,250025-264,369,
FA-3453,FILTRO SEPARADOR DE ACEITE,LANSS,,,
FA-3962,FILTRO SEPARADOR DE AGUA,LANSS,,,
AH1196,FILTRO DE AIRE COMPLETO,FLEETGUARD,,126.9,
AF26173-FLE,FILTRO DE AIRE P/ C350/500Q,FLEETGUARD,,185.4,
AH1136,FILTRO DE AIRE C-120/150,FLEETGUARD | REPCENTER,,74.4,
AF25957,FILTRO AIRE I° P/SKT (1101312),FLEETGUARD,,70.2,
7139077-TRA,ASS. FILLER BREATHER,SULLAIR,,78.7,
´000098,ELEMENTO FILTRO DE AIRE LS10,LANSS,EF428,85.4,
88290014-485,ELEMTO.FLT.AIRE WS1100-1500,P/SERVICIO | SULLAIR,,110.1,Servicio Técnico
88290015-049,ELEMTO.SEPAR. WS0400-500-700,SULLAIR,,308.7,
02250168-084,ELEM FLTR CORELESS 2 DIA. +,P/SERVICIO | SULLAIR,,381.6,Servicio Técnico
250025-526,ELEMTO.FILT.ACEITE 750/S.12/16,SULLAIR | P/SERVICIO,,189,Servicio Técnico
88290014-484,ELEMTO.FILT.ACEITE SHOPTEK,SULLAIR | P/SERVICIO,,88.7,Servicio Técnico
250025-525,ELEMTO.FILT.ACEITE 375/S.10,SULLAIR | P/SERVICIO,,141.5,Servicio Técnico
02250125-370,F. AIRE 6 P/8E y S-ENERGY,SULLAIR,,60,
EF-526,ELEMENTO FILTRO DE AIRE 25-200,LANSS,,314.4,
250034-118,ELEMTO.SEP. II° S.12/16 (OLD),SULLAIR,,861,
88290015-567,ELEMTO.SEPAR. WS1100-1500,SULLAIR,,329.2,
88290014-486,ELEMTO.FLT.AIRE WS0400-500-700,SULLAIR,,95.1,
02250100-755,ELEMENTO SEP. Iº P/LS12 LFREE,SULLAIR | P/SERVICIO,,876.3,Servicio Técnico
02250100-756,ELEMENTO SEP. IIº P/LS12 LFREE,SULLAIR | P/SERVICIO,,594.3,Servicio Técnico
250034-128,ELEMTO.SEPARADOR II° S.20,SULLAIR | P/SERVICIO,,1021.4,Servicio Técnico
LX200/HP8528,FILTRO DE AIRE,VOX,,,
02250168-053,ELEM AIR FLTR 2-STAGE P16/18,SULLAIR | P/SERVICIO,,680.7,Servicio Técnico
408242,FILTRO DE ACEITE (S.10 viejos),SULLAIR,,141.5,
02250218-885,KIT SEP ELEMENT P16/18,SULLAIR,,1637.9,
02250078-031,SEPARADOR 185Q | SEPARADOR 185Q (EX 250034-155) | ELEM. SEPARADOR CORTO,SULLAIR | P/SERVICIO,250034-155,503.4,Servicio Técnico
250034-112,FILT SEPARADOR P/185 KUB(CORTO,SULLAIR,,638.3,
